


                       Matrix                
------------------------------------------------------
      G(i,j) * Bc(j) = F(j)     
| 0.0000  0.0055  0.0000  0.0000  0.0000 -0.0349  0.0000  0.0000 -0.0043 -0.0290  0.0000 -0.0365 -0.0042 -0.0244  0.0000 -0.0689 -0.0029 -0.0246  0.0000 -0.0827  0.0000 -0.0302  0.0000 -0.0990  0.0035 -0.0387  0.0000 -0.1052  0.0118 -0.0562  0.0000 -0.0776 |0.00000=| 0.0000
| 0.0000  0.0000 -0.5000  0.0000  0.0000  0.0027  0.0000  0.0000 -0.0005  0.0001 -0.0002  0.0015 -0.0002 -0.0001 -0.0001  0.0006 -0.0001 -0.0001 -0.0001  0.0004  0.0000 -0.0003 -0.0001  0.0009  0.0003 -0.0009 -0.0004  0.0030  0.0045 -0.0029  0.0020  0.0216 |0.00000=|-0.7257
| 0.0000  0.0000  0.0000 -0.5000  0.0000  0.0027  0.0000  0.0000 -0.0006  0.0014  0.0000  0.0089 -0.0008  0.0001  0.0000  0.0034 -0.0006 -0.0004  0.0000  0.0025  0.0000 -0.0007  0.0000  0.0053  0.0006 -0.0003  0.0000  0.0179  0.0011  0.0018  0.0000  0.1350 |0.00000=|-0.0094
| 0.0000 -0.0155  0.0000  0.0000 -0.5000  0.0000  0.0000  0.0000  0.0032 -0.0021  0.0000 -0.0671  0.0020 -0.0015  0.0000 -0.0226  0.0017  0.0000  0.0000 -0.0000  0.0004  0.0011  0.0000  0.0196 -0.0008  0.0009  0.0000  0.0286 -0.0023 -0.0029  0.0000  0.0305 |0.00000=|-0.6370
| 0.0000 -0.0349  0.0000  0.0000  0.0000  0.0055  0.0000  0.0000 -0.0118 -0.0562  0.0000 -0.0776 -0.0035 -0.0387  0.0000 -0.1052  0.0000 -0.0302  0.0000 -0.0990  0.0029 -0.0246  0.0000 -0.0827  0.0042 -0.0244  0.0000 -0.0689  0.0043 -0.0290  0.0000 -0.0365 |0.00000=| 0.0000
| 0.0000  0.0027  0.0000  0.0000  0.0000  0.0000 -0.5000  0.0000 -0.0045 -0.0029  0.0020  0.0216 -0.0003 -0.0009 -0.0004  0.0030  0.0000 -0.0003 -0.0001  0.0009  0.0001 -0.0001 -0.0001  0.0004  0.0002 -0.0001 -0.0001  0.0006  0.0005  0.0001 -0.0002  0.0015 |0.00000=|-0.0000
| 0.0000  0.0027  0.0000  0.0000  0.0000  0.0000  0.0000 -0.5000 -0.0011  0.0018  0.0000  0.1350 -0.0006 -0.0003  0.0000  0.0179  0.0000 -0.0007  0.0000  0.0053  0.0006 -0.0004  0.0000  0.0025  0.0008  0.0001  0.0000  0.0034  0.0006  0.0014  0.0000  0.0089 |0.00000=|-0.0039
| 0.0006 -0.0017  0.0000  0.0343  0.0189 -0.0055  0.0000  0.0272 -0.5000  0.0000  0.0000  0.0000  0.0000 -0.0114  0.0000 -0.0805  0.0037 -0.0021  0.0000 -0.0353  0.0013  0.0010  0.0000  0.0020 -0.0000  0.0012  0.0000  0.0163 -0.0009 -0.0000  0.0000  0.0297 |0.00000=|-0.4499
|-0.0015  0.0020  0.0000  0.0226 -0.0021  0.0032  0.0000  0.0671  0.0000 -0.5000  0.0000  0.0000 -0.0155  0.0000  0.0000  0.0000 -0.0029 -0.0023  0.0000 -0.0305  0.0009 -0.0008  0.0000 -0.0286  0.0011  0.0004  0.0000 -0.0196 -0.0000  0.0017  0.0000 -0.0000 |0.00000=|-0.1125
|-0.0018 -0.0005  0.0007 -0.0051 -0.0130 -0.0086  0.0058 -0.0569  0.0000 -0.0000 -0.3046 -0.1487  0.0000  0.0102  0.0041 -0.0342 -0.0009  0.0023  0.0009 -0.0070 -0.0003  0.0003  0.0001 -0.0011 -0.0002  0.0001  0.0001 -0.0006 -0.0005 -0.0000  0.0002 -0.0013 |0.00000=|-0.0000
